location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
Remote,"Senior Data Scientist, Servicing","1,46,000","1,70,000"," $1,58,000.00 ",United States of America,Data Scientist,Remote,Available
"New York, NY","Senior Applied Scientist, Geographic Targeting","1,50,400","2,60,000",,United States of America,Data Scientist,New York,Available
"West Des Moines, IA 50265",AI Data Engineer - On-site or Hybrid Opportunity,,,,United States of America,Data Scientist,West Des Moines,Missing
"Corona, CA 92879",AI Solutions Architect,"1,08,750","1,45,000"," $1,26,875.00 ",United States of America,Data Scientist,Corona,Available
"Raleigh, NC 27519",Director of Data Platform and AI - Hybrid or Remote Opportunity,"1,60,000","1,90,000"," $1,75,000.00 ",United States of America,Data Scientist,Raleigh,Available
"Milpitas, CA",Senior Data Analyst,"1,15,000","1,70,000"," $1,42,500.00 ",United States of America,Data Scientist,Milpitas,Available
"New York, NY","Vice President, Data Science","1,63,210","2,34,570"," $1,98,890.00 ",United States of America,Data Scientist,New York,Available
"Sunnyvale, CA 94086","(USA) Senior, Software Engineer (Machine Learning)","1,17,000","2,34,000"," $1,75,500.00 ",United States of America,Data Scientist,Sunnyvale,Available
"St. Louis, MO",IT - Clinical Informaticist - Product Development,61.24,64," $1,31,040.00 ",United States of America,Data Scientist,St. Louis,Available
"Charlotte, NC 28277",Gen AI Engineer (contract),,,,United States of America,Data Scientist,Charlotte,Missing
"Arlington, VA","Deep Learning Architect, Generative AI Innovation Center","1,18,200","2,04,300"," $1,61,250.00 ",United States of America,Data Scientist,Arlington,Available
"Cupertino, CA","Machine Learning Engineer, Siri Conversation Intelligence","1,75,800","3,12,200"," $2,44,000.00 ",United States of America,Data Scientist,Cupertino,Available
"Titusville, FL","Manager, R&D Data Science and Digital Health (DSDH) Immunology","1,15,000","1,97,800"," $1,56,400.00 ",United States of America,Data Scientist,Titusville,Available
United States,"Director, Data Science & Analytics Products",,,,United States of America,Data Scientist,United States,Missing
"Atlanta, GA 30305",AI Developer,,,,United States of America,Data Scientist,Atlanta,Missing
"New York, NY 10017",Machine Learning Scientist,"1,48,100","2,44,400"," $1,96,250.00 ",United States of America,Data Scientist,New York,Available
Remote,"Senior Machine Learning Engineer, Caper","1,69,000","2,26,000"," $1,97,500.00 ",United States of America,Data Scientist,Remote,Available
"Iselin, NJ 08830",Lead AI/ML Engineer,"1,26,400","2,62,600"," $1,94,500.00 ",United States of America,Data Scientist,Iselin,Available
"Lexington, MA 02421",AI/ML Engineer for Human Factors,"97,688","1,62,813"," $1,30,251.00 ",United States of America,Data Scientist,Lexington,Available
"San Francisco, CA",Early Career Machine Learning Engineer,,,,United States of America,Data Scientist,San Francisco,Missing
"Dayton, OH 45402",AI Architect - Information Technology," From   112,144   ",," $1,12,144.00 ",United States of America,Data Scientist,Dayton,Available
"New York, NY",Artificial Intelligence Solutions Consultant - Conversational Architect,"96,600","2,06,100"," $1,51,350.00 ",United States of America,Data Scientist,New York,Available
"Seattle, WA 98105","Manager, Data Science - System Intelligence and Machine Learning, ISE","1,81,000","3,13,000"," $2,47,000.00 ",United States of America,Data Scientist,Seattle,Available
"Austin, TX 78746","Machine Learning Hardware Performance Engineer, Self-Driving Hardware",,,,United States of America,Data Scientist,Austin,Missing
"Chicago, IL",Lead Engineer Data Ops,"1,14,665","1,56,310"," $1,35,488.00 ",United States of America,Data Scientist,Chicago,Available
"Austin, TX 78701",Senior Data Science Engineer,"92,700","1,85,400"," $1,39,050.00 ",United States of America,Data Scientist,Austin,Available
Remote,"Principal Machine Learning Engineer, Ads Quality","3,08,000","3,72,000"," $3,40,000.00 ",United States of America,Data Scientist,Remote,Available
"Newton, MA 02466",Principal Statistical Programmer,,,,United States of America,Data Scientist,Newton,Missing
