location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
"Jersey City, NJ 07310",Data Scientist,"1,65,400","1,95,000"," $1,80,200.00 ",United States of America,Data Scientist,Jersey City,Available
"Mountain View, CA 94035",AI/ML ﻿Researcher,70,100," $1,76,800.00 ",United States of America,Data Scientist,Mountain View,Available
"Addison, TX 75001",Data Scientist – Generative AI and Document Extraction,44.53,53.62," $1,01,920.00 ",United States of America,Data Scientist,Addison,Available
"New York, NY","Senior Associate, Analytics & AI Analyst","95,000","1,62,500"," $1,28,750.00 ",United States of America,Data Scientist,New York,Available
"Salt Lake City, UT",Data Scientist I - Curriculum Analytics,"95,900","1,43,800"," $1,19,850.00 ",United States of America,Data Scientist,Salt Lake City,Available
"Jersey City, NJ 07310",Data Scientist,"1,65,400","1,95,000"," $1,80,200.00 ",United States of America,Data Scientist,Jersey City,Available
"Raleigh, NC",Associate Value Engineer (AI for Supply Chain) - Orbit Program,,,,United States of America,Data Scientist,Raleigh,Missing
"North Chicago, IL",DIRECTOR DSA - DATA & TECHNOLOGY OPS,,,,United States of America,Data Scientist,North Chicago,Missing
"Mountain View, CA 94043",AI/ML Engineer,85,93," $1,85,120.00 ",United States of America,Data Scientist,Mountain View,Available
"Yardley, PA 19067",Principal Statistician,"1,20,000","1,40,000"," $1,30,000.00 ",United States of America,Data Scientist,Yardley,Available
"Mountain View, CA 94043","Principal, Microsoft AI Monetization Strategy","1,30,900","2,72,300"," $2,01,600.00 ",United States of America,Data Scientist,Mountain View,Available
"Jersey City, NJ 07310",Data Scientist,"1,70,000","2,10,000"," $1,90,000.00 ",United States of America,Data Scientist,Jersey City,Available
"Springfield, VA 22150",AI/ML Manager - Automation and Orchestration,"1,31,800","2,90,000"," $2,10,900.00 ",United States of America,Data Scientist,Springfield,Available
"New York, NY",Staff Machine Learning Engineer,"1,50,000","1,70,000"," $1,60,000.00 ",United States of America,Data Scientist,New York,Available
"Cupertino, CA","Senior Machine Learning Engineer, Siri Attention and Invocation","1,43,100","2,64,200"," $2,03,650.00 ",United States of America,Data Scientist,Cupertino,Available
"Santa Clara, CA 95050",Senior Compiler Verification Engineer - Deep Learning,"1,36,000","2,64,500"," $2,00,250.00 ",United States of America,Data Scientist,Santa Clara,Available
California,Machine Learning Researcher – Early-Stage AI Infrastructure,"2,40,000","3,60,000"," $3,00,000.00 ",United States of America,Data Scientist,California,Available
Remote,Data Scientist,65,70," $1,41,440.00 ",United States of America,Data Scientist,Remote,Available
"Memphis, TN 38125",OR Data Scientist II,"8,567","10,280"," $1,13,088.00 ",United States of America,Data Scientist,Memphis,Available
"San Jose, CA",AI Software Engineering Tech Lead (AI Validation / AI Artifacts),,,,United States of America,Data Scientist,San Jose,Missing
"Reston, VA 20190",Senior CMS Data/Policy SME,"89,203","1,83,491"," $1,36,347.00 ",United States of America,Data Scientist,Reston,Available
"Howell, MI 48843",Artificial Intelligence (AI) Subject Matter Expert,600,   800 a day ," $1,82,000.00 ",United States of America,Data Scientist,Howell,Available
"San Francisco, CA","Member of Technical Staff - Applied Science - People Leader, AGI Autonomy","1,20,000","3,50,000"," $2,35,000.00 ",United States of America,Data Scientist,San Francisco,Available
"San Francisco, CA 94143",Research Data Scientist,"69,000","1,00,200"," $84,600.00 ",United States of America,Data Scientist,San Francisco,Available
"New York, NY 10022",Data Scientist,"96,000","1,20,000"," $1,08,000.00 ",United States of America,Data Scientist,New York,Available
"Saint Louis Park, MN 55416",AI Development Expert,"1,64,700","3,74,200"," $2,69,450.00 ",United States of America,Data Scientist,Saint Louis Park,Available
"Dallas, TX 75201",AI Engineer - Marquee Team - Dallas - GBM Public,,,,United States of America,Data Scientist,Dallas,Missing
"Cupertino, CA",Machine Learning Manager - Apple Ads,"2,52,400","3,78,700"," $3,15,550.00 ",United States of America,Data Scientist,Cupertino,Available
"Sunnyvale, CA","Senior Software Engineer, AI/ML, Google Cloud Compute","1,66,000","2,44,000"," $2,05,000.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Austin, TX","Product Test Engineer - Machine Learning Hardware, Annapurna Labs",,,,United States of America,Data Scientist,Austin,Missing
"San Diego, CA",Senior AI Application Engineer,"1,66,600","2,96,300"," $2,31,450.00 ",United States of America,Data Scientist,San Diego,Available
"Seattle, WA",Principal PMT - Alexa,"1,61,900","2,79,900"," $2,20,900.00 ",United States of America,Data Scientist,Seattle,Available
"Sunnyvale, CA 94089","Software Engineering Manager, Machine Learning","1,77,000","2,51,000"," $2,14,000.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Seattle, WA",Senior Principal Software Engineer - AI GPU Innovation,,,,United States of America,Data Scientist,Seattle,Missing
"Sunnyvale, CA",Machine Learning / Computer Vision Engineer - Generative AI,"1,43,100","2,64,200"," $2,03,650.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Iselin, NJ",Lead AI-driven IT Service Management (ITSM) Engineer,"1,20,400","2,62,600"," $1,91,500.00 ",United States of America,Data Scientist,Iselin,Available
"San Jose, CA",Senior Software Engineering Manager - AI Assistant,,,,United States of America,Data Scientist,San Jose,Missing
"Cupertino, CA",Audio ML Algorithm Engineer,"1,43,100","2,14,500"," $1,78,800.00 ",United States of America,Data Scientist,Cupertino,Available
Remote,Senior Machine Learning Engineer,,,,United States of America,Data Scientist,Remote,Missing
"Gaithersburg, MD 20878","ML/AI Operations Architect – Evinova Gaithersburg, Maryland","1,67,772","2,51,658"," $2,09,715.00 ",United States of America,Data Scientist,Gaithersburg,Available
Remote,AI Strategist,,,,United States of America,Data Scientist,Remote,Missing
"Saint Louis Park, MN 55416",AI Development Expert,"1,64,700","3,74,200"," $2,69,450.00 ",United States of America,Data Scientist,Saint Louis Park,Available
United States,"AI Tutor, Materials Science Specialist (Contract), Handshake AI",55,100," $1,62,240.00 ",United States of America,Data Scientist,United States,Available
"Charlotte, NC 28202",CFO Data Management â€“ Loan Products Senior Data Analyst,,,,United States of America,Data Scientist,Charlotte,Missing
"New York, NY",Staff Machine Learning Engineer - Causal Inference,"2,23,000","2,48,000"," $2,35,500.00 ",United States of America,Data Scientist,New York,Available
"San Francisco, CA 94105",Lead AI Engineer - Agent Engineering Team,"2,00,800","2,76,100"," $2,38,450.00 ",United States of America,Data Scientist,San Francisco,Available
"Aiken, SC",Entry Level Data Scientist,,,,United States of America,Data Scientist,Aiken,Missing
"Sunnyvale, CA 94089",Image Processing and Machine Learning Engineer (PhD),"1,14,000","1,66,000"," $1,40,000.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Mountain View, CA",Member of Technical Staff (Platform),"1,40,000","3,00,000"," $2,20,000.00 ",United States of America,Data Scientist,Mountain View,Available
"Chicago, IL",Senior Associate L1,,,,United States of America,Data Scientist,Chicago,Missing
"Gaithersburg, MD 20878","Senior ML/AI Operations Engineer - Evinova Gaithersburg, Maryland","1,34,866.40","2,02,299.60"," $1,68,583.00 ",United States of America,Data Scientist,Gaithersburg,Available
"San Jose, CA 95124",Chief of Staff - AI Solutions Engineering,,,,United States of America,Data Scientist,San Jose,Missing
"Santa Clara, CA 95050",AIML - Staff Machine Learning Engineer - Reinforcement Learning,"2,07,800","3,78,700"," $2,93,250.00 ",United States of America,Data Scientist,Santa Clara,Available
"New York, NY",Gen AI Lead Engineer - SVP,"1,92,000","2,88,000"," $2,40,000.00 ",United States of America,Data Scientist,New York,Available
"Austin, TX","Product Test Engineer - Machine Learning Hardware, Annapurna Labs",,,,United States of America,Data Scientist,Austin,Missing
"Atlanta, GA","Senior Delivery Consultant - Senior Machine Learning Engineer, AWS Professional Services, AWS Professional Services","1,38,200","2,39,000"," $1,88,600.00 ",United States of America,Data Scientist,Atlanta,Available
"Boston, MA","Delivery Consultant - Machine Learning Engineer, AWS Professional Services, AWS Professional Services","1,18,200","2,04,300"," $1,61,250.00 ",United States of America,Data Scientist,Boston,Available
"Santa Clara, CA 95050","Software Developer, AI Networking","1,20,000","2,35,750"," $1,77,875.00 ",United States of America,Data Scientist,Santa Clara,Available
"New York, NY","Software Engineering Manager, Machine Learning","1,77,000","2,51,000"," $2,14,000.00 ",United States of America,Data Scientist,New York,Available
"Washington, DC 20022","Machine Learning Engineer, Senior Active TS/SCI with Poly REQUIRED","1,15,800","2,22,960"," $1,69,380.00 ",United States of America,Data Scientist,Washington,Available
"Aurora, CO 80011",Staff AI/ML Engineering Manager (TS/SCI) {S},"1,60,000","2,00,000"," $1,80,000.00 ",United States of America,Data Scientist,Aurora,Available
"New York, NY 11226",Data Scientist,50,55," $1,10,240.00 ",United States of America,Data Scientist,New York,Available
"Columbus, OH",Senior Data Analyst,,,,United States of America,Data Scientist,Columbus,Missing
"San Diego, CA 92101","Sr Manager, Statistical Programmer",,,,United States of America,Data Scientist,San Diego,Missing
"New York, NY",Senior AI Consultant," From   190,000   ",," $1,90,000.00 ",United States of America,Data Scientist,New York,Available
"Mountain View, CA 94043",Android AI/ML Engineer,70,80," $1,56,000.00 ",United States of America,Data Scientist,Mountain View,Available
"Grand Rapids, MI 49503",AI and Machine Learning Operations and Enablement Data Scientist Lead,,,,United States of America,Data Scientist,Grand Rapids,Missing
"Mountain View, CA 94043",AI/ML Researcher,90,95," $1,93,440.00 ",United States of America,Data Scientist,Mountain View,Available
"Huntsville, TX",Enterprise Resource Planning (ERP) Analyst III - AI Developer Analyst III,,,,United States of America,Data Scientist,Huntsville,Missing
"Lafayette, LA",AI Solutions Architect,"79,300","1,73,500"," $1,26,400.00 ",United States of America,Data Scientist,Lafayette,Available
United States,Principal AI Researcher (USA),,,,United States of America,Data Scientist,United States,Missing
"Camden, NJ 08102",IT AI Solution Architect,"92,965.08","1,23,953.44"," $1,08,459.00 ",United States of America,Data Scientist,Camden,Available
"Plano, TX",AWS Gen AI Developer (8+ Years Exp),"1,30,000","1,75,000"," $1,52,500.00 ",United States of America,Data Scientist,Plano,Available
"Charlotte, NC",Lead AI-driven IT Service Management (ITSM) Engineer,"1,20,400","2,62,600"," $1,91,500.00 ",United States of America,Data Scientist,Charlotte,Available
Remote,AI/ML Solution Architect,,,,United States of America,Data Scientist,Remote,Missing
"Phoenix, AZ 85016",AI/ML Engineer,46.93,56.52," $1,08,160.00 ",United States of America,Data Scientist,Phoenix,Available
"McLean, VA 22102",Data Scientist,,,,United States of America,Data Scientist,McLean,Missing
"New York, NY","Delivery Lead, Handshake AI","1,80,000","2,20,000"," $2,00,000.00 ",United States of America,Data Scientist,New York,Available
Remote,"Part Time Evaluator, Software Engineering and Computer Science",27.21,40.81," $70,720.00 ",United States of America,Data Scientist,Remote,Available
"Maplewood, MN 55119",Senior AI/ML Scientist,"1,37,439","1,67,981"," $1,52,710.00 ",United States of America,Data Scientist,Maplewood,Available
"McLean, VA",Principal Data Scientist,,,,United States of America,Data Scientist,McLean,Missing
"New York, NY",Senior Data Analyst,"87,000","1,09,000"," $98,000.00 ",United States of America,Data Scientist,New York,Available
"Chicago, IL",Senior Principal Statistician,"1,77,000","2,00,000"," $1,88,500.00 ",United States of America,Data Scientist,Chicago,Available
Remote,Senior Product Data Scientist – Mobile (Android and iOS Instrumentation) New,"1,28,398.00","2,00,528.64"," $1,64,463.00 ",United States of America,Data Scientist,Remote,Available
"Mountain View, CA",Machine Learning Engineer,"1,50,000","3,00,000"," $2,25,000.00 ",United States of America,Data Scientist,Mountain View,Available
"New York, NY","Data Science Manager, Demand Planning and Forecasting","2,06,000","2,81,000"," $2,43,500.00 ",United States of America,Data Scientist,New York,Available
"Gainesville, FL 32611",Data Scientist II - Quality & Patient Safety Initiative (QPSi),"75,000","85,000"," $80,000.00 ",United States of America,Data Scientist,Gainesville,Available
"Chicago, IL",Data Scientist,"77,400","1,35,400"," $1,06,400.00 ",United States of America,Data Scientist,Chicago,Available
"Gainesville, FL 32611",Data Scientist III - Quality & Patient Safety Initiative (QPSi),"88,000","1,05,000"," $96,500.00 ",United States of America,Data Scientist,Gainesville,Available
Remote,Machine Learning Scientist (L5) - Ads,"1,70,000","7,20,000"," $4,45,000.00 ",United States of America,Data Scientist,Remote,Available
"San Antonio, TX",Senior Data Analyst,,,,United States of America,Data Scientist,San Antonio,Missing
"Herndon, VA 20171",SAP NS2 Data Scientist / Data Engineer-TS/SCI+poly-Maryland-100% onsite,"1,07,300","2,30,600"," $1,68,950.00 ",United States of America,Data Scientist,Herndon,Available
"Santa Clara, CA 95054",Senior Machine Learning Engineer,"1,58,500","2,69,500"," $2,14,000.00 ",United States of America,Data Scientist,Santa Clara,Available
"San Francisco, CA 94143",Enterprise Data Scientist,"1,43,900","2,00,000"," $1,71,950.00 ",United States of America,Data Scientist,San Francisco,Available
"McLean, VA 22103",Reports Engineer/Fledgling Data Scientist – Poly Clearance Required!,"79,560","1,75,074"," $1,27,317.00 ",United States of America,Data Scientist,McLean,Available
"Alpharetta, GA 30022",GenAI Engineer,,,,United States of America,Data Scientist,Alpharetta,Missing
"Richardson, TX",Sr. Data Scientist,"90,000","1,44,000"," $1,17,000.00 ",United States of America,Data Scientist,Richardson,Available
Remote,Staff AI Operator,"75,000","90,000"," $82,500.00 ",United States of America,Data Scientist,Remote,Available
"Foster City, CA 94404",Data Scientist II,"1,88,885","2,25,000"," $2,06,943.00 ",United States of America,Data Scientist,Foster City,Available
"Columbus, OH",Lead Data Scientist,"54,300","1,08,600"," $81,450.00 ",United States of America,Data Scientist,Columbus,Available
"Charlotte, NC 28202",CFO Data Management â€“ Loan Products Senior Data Analyst,,,,United States of America,Data Scientist,Charlotte,Missing
"Charlotte, NC","AVP, IT GenAI User Experience Development",,,,United States of America,Data Scientist,Charlotte,Missing
"Minneapolis, MN 55403",Sr Data Analyst(Remote Or Hybrid),"87,000","1,56,000"," $1,21,500.00 ",United States of America,Data Scientist,Minneapolis,Available
"Ford Island, HI","Data Scientist, Senior","99,000","2,25,000"," $1,62,000.00 ",United States of America,Data Scientist,Ford Island,Available
"Boulder, CO",ML Engineering - ML Ops,"1,39,800","2,20,800"," $1,80,300.00 ",United States of America,Data Scientist,Boulder,Available
"Costa Mesa, CA 92626",Lead Data Scientist,"1,42,300","1,89,200"," $1,65,750.00 ",United States of America,Data Scientist,Costa Mesa,Available
"Reston, VA 20190",Data Scientist,,,,United States of America,Data Scientist,Reston,Missing
"New York, NY 10022",Lead Data Scientist,"1,52,000","1,90,000"," $1,71,000.00 ",United States of America,Data Scientist,New York,Available
"Overland Park, KS",Senior Healthcare Data Analyst,,,,United States of America,Data Scientist,Overland Park,Missing
"New York, NY 10001",Lead Data Scientist - Digital + Customer,"1,51,320","2,52,120"," $2,01,720.00 ",United States of America,Data Scientist,New York,Available
"Indianapolis, IN",Senior Data Scientist II,,,,United States of America,Data Scientist,Indianapolis,Missing
New York State,Lead Data Scientist,"1,52,000","1,90,000"," $1,71,000.00 ",United States of America,Data Scientist,New York State,Available
"Irwindale, CA 91702",Data Science Senior Specialist,"1,26,000","1,89,000"," $1,57,500.00 ",United States of America,Data Scientist,Irwindale,Available
"Nashville, TN 37203",ENTERPRISE DATA SCIENTIST - 68920,"8,534","11,076"," $1,17,660.00 ",United States of America,Data Scientist,Nashville,Available
New York State,Data Scientist,"96,000","1,20,000"," $1,08,000.00 ",United States of America,Data Scientist,New York State,Available
"Bellevue, WA 98006","Data Scientist, Agentic AI","86,300","1,55,700"," $1,21,000.00 ",United States of America,Data Scientist,Bellevue,Available
"Erlanger, KY",DNA Data Scientist,"1,00,152","1,10,152"," $1,05,152.00 ",United States of America,Data Scientist,Erlanger,Available
"Atlanta, GA 30309",Data Scientist,,,,United States of America,Data Scientist,Atlanta,Missing
"Roseville, MN",Sr. Data Analyst,"68,000","1,13,937"," $90,969.00 ",United States of America,Data Scientist,Roseville,Available
"Irwindale, CA",Data Science Senior Specialist,"1,26,000","1,89,000"," $1,57,500.00 ",United States of America,Data Scientist,Irwindale,Available
"Mountain View, CA","Data Scientist, Product, Play Data Science and Analytics","1,83,000","2,71,000"," $2,27,000.00 ",United States of America,Data Scientist,Mountain View,Available
"San Diego, CA",Machine Learning Compiler Engineer,"1,58,400","2,37,600"," $1,98,000.00 ",United States of America,Data Scientist,San Diego,Available
"Redmond, WA 98052",Data Scientist – AI/ML Recommendations & Personalization,"1,00,600","2,15,400"," $1,58,000.00 ",United States of America,Data Scientist,Redmond,Available
"New York, NY",Senior Data Scientist,"90,000","1,50,000"," $1,20,000.00 ",United States of America,Data Scientist,New York,Available
"Princeton, NJ",Senior Data Analyst,,,,United States of America,Data Scientist,Princeton,Missing
"Bellevue, WA",Machine Learning Scientist III,"1,42,064","2,03,000"," $1,72,532.00 ",United States of America,Data Scientist,Bellevue,Available
Remote,AI Engineer,,,,United States of America,Data Scientist,Remote,Missing
"New York, NY",Business and Marketing Data Scientist II,"1,41,000","2,02,000"," $1,71,500.00 ",United States of America,Data Scientist,New York,Available
"Arlington, VA 22201",Senior Data Scientist,"1,40,000","1,60,000"," $1,50,000.00 ",United States of America,Data Scientist,Arlington,Available
"Menlo Park, CA",Senior Data Scientist- Product Fraud,"1,39,000","2,10,000"," $1,74,500.00 ",United States of America,Data Scientist,Menlo Park,Available
Remote,Data Scientist - Information Technology Management,,,,United States of America,Data Scientist,Remote,Missing
"Woodbridge, NJ 07095",Data Scientist,"1,09,000","1,40,000"," $1,24,500.00 ",United States of America,Data Scientist,Woodbridge,Available
"Chantilly, VA",Data Scientist,,,,United States of America,Data Scientist,Chantilly,Missing
"Vienna, VA 22180",Data Scientist,,,,United States of America,Data Scientist,Vienna,Missing
"Austin, TX",Data Services Scientist,,,,United States of America,Data Scientist,Austin,Missing
"Tempe, AZ",Sr. Data Analyst (SQL/Tableau/Databricks),"61,800","1,65,330"," $1,13,565.00 ",United States of America,Data Scientist,Tempe,Available
"San Diego, CA 92101",Principal Data Scientist,"1,24,500","2,39,400"," $1,81,950.00 ",United States of America,Data Scientist,San Diego,Available
"Miami, FL 33101",Statistical Analyst,,,,United States of America,Data Scientist,Miami,Missing
"San Francisco, CA 94110","Senior Data Scientist, Algorithms - Primetime Pricing","1,48,000","1,85,000"," $1,66,500.00 ",United States of America,Data Scientist,San Francisco,Available
"McLean, VA","Principal Associate, Data Science - Model Risk Office","1,58,600","1,81,000"," $1,69,800.00 ",United States of America,Data Scientist,McLean,Available
"McLean, VA",Principal Data Scientist,"1,58,600","1,81,000"," $1,69,800.00 ",United States of America,Data Scientist,McLean,Available
"New York, NY",Software Engineer - ML Data,"1,75,800","2,64,200"," $2,20,000.00 ",United States of America,Data Scientist,New York,Available
"Dallas, TX",Senior Data & AI Engineer,"1,16,700","1,96,100"," $1,56,400.00 ",United States of America,Data Scientist,Dallas,Available
"Atlanta, GA 30303",Senior Data Science Research Analyst - Strategy & Corporate Finance,,,,United States of America,Data Scientist,Atlanta,Missing
"New York, NY","Manager, Data Science - LLM Customization Team",,,,United States of America,Data Scientist,New York,Missing
"McLean, VA","Principal Associate, Data Science - Model Risk Office",,,,United States of America,Data Scientist,McLean,Missing
"New York, NY","Senior Data Scientist, Algorithms - Primetime Pricing","1,48,000","1,85,000"," $1,66,500.00 ",United States of America,Data Scientist,New York,Available
"Mettawa, IL 60045",Senior Website Data Analyst,,,,United States of America,Data Scientist,Mettawa,Missing
"New York, NY 10011",AI Ops Engineer NY Local Only,35,40," $79,040.00 ",United States of America,Data Scientist,New York,Available
"Bedford, MA 01730",Machine Learning Scientist,,,,United States of America,Data Scientist,Bedford,Missing
"Dahlgren, VA",Data Scientist,,,,United States of America,Data Scientist,Dahlgren,Missing
"Mountain View, CA 94043",AI/ML Researcher,90,101," $1,97,600.00 ",United States of America,Data Scientist,Mountain View,Available
"Houston, TX 77005",Digital Health Data Scientist,,,,United States of America,Data Scientist,Houston,Missing
"Atlanta, GA 30339",Sr Data Analyst - Labor,,,,United States of America,Data Scientist,Atlanta,Missing
"Atlanta, GA",Senior Data Scientist,,,,United States of America,Data Scientist,Atlanta,Missing
"St. Louis, MO 63132",Sr. Data Scientist,,,,United States of America,Data Scientist,St. Louis,Missing
"Columbus, OH 43215",Lead Data Scientist,,,,United States of America,Data Scientist,Columbus,Missing
"Wright-Patterson AFB, OH",Data Scientist (ES4),,,,United States of America,Data Scientist,Wright-Patterson AFB,Missing
"Sunnyvale, CA 94086","Staff, Software Engineer – Conversational AI","1,43,000","2,86,000"," $2,14,500.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Seattle, WA","Applied Scientist - II, Everyday Essentials Science","1,36,000","2,23,400"," $1,79,700.00 ",United States of America,Data Scientist,Seattle,Available
"Seattle, WA","Manager, Data Science, P2 Science, Data, and Insights","1,42,300","2,72,400"," $2,07,350.00 ",United States of America,Data Scientist,Seattle,Available
"Atlanta, GA 30339","Sr Data Scientist, Pricing Analytics (OR/Optimization)",,,,United States of America,Data Scientist,Atlanta,Missing
"Tempe, AZ","Senior Data Analyst, Business Intelligence","80,000","1,10,000"," $95,000.00 ",United States of America,Data Scientist,Tempe,Available
"Seattle, WA","Backend Software Engineer, AI Safety, TikTok - Seattle","1,37,750","2,37,500"," $1,87,625.00 ",United States of America,Data Scientist,Seattle,Available
"Charlotte, NC",Software Engineer for Training AI Data,30,50," $83,200.00 ",United States of America,Data Scientist,Charlotte,Available
"New York, NY","Manager, Data Science - LLM Customization Team","2,11,000","2,40,800"," $2,25,900.00 ",United States of America,Data Scientist,New York,Available
"Boston, MA",Principal Clinical Data Science,,,,United States of America,Data Scientist,Boston,Missing
"San Francisco, CA",Senior Applied Scientist,"1,24,000","1,84,000"," $1,54,000.00 ",United States of America,Data Scientist,San Francisco,Available
"Green Bay, WI 54303",Senior Data Scientist,,,,United States of America,Data Scientist,Green Bay,Missing
"Overland Park, KS","Sr. Manager, Decision Science",,,,United States of America,Data Scientist,Overland Park,Missing
"New York, NY",Lead AI Scientist,"1,65,000","2,55,000"," $2,10,000.00 ",United States of America,Data Scientist,New York,Available
"Cupertino, CA",Machine Learning Engineer,"1,75,800","2,64,200"," $2,20,000.00 ",United States of America,Data Scientist,Cupertino,Available
"Minneapolis, MN","Senior AI Engineer, Quit for Life","1,18,650","1,58,200"," $1,38,425.00 ",United States of America,Data Scientist,Minneapolis,Available
"Schaumburg, IL 60159",Optum Rx AI Capability Lead - Remote,"1,06,800","1,94,200"," $1,50,500.00 ",United States of America,Data Scientist,Schaumburg,Available
"Scottsdale, AZ 85255","Executive Director, Head of Engineering - Data & AI","2,38,000","2,65,000"," $2,51,500.00 ",United States of America,Data Scientist,Scottsdale,Available
Remote,Staff Software Engineer AI,"86,110","1,99,452"," $1,42,781.00 ",United States of America,Data Scientist,Remote,Available
Remote,AI/ML Engineer - Senior,"1,80,000","2,00,000"," $1,90,000.00 ",United States of America,Data Scientist,Remote,Available
"Mountain View, CA 94043",Senior Staff Business Data Analyst,,,,United States of America,Data Scientist,Mountain View,Missing
"Chicago, IL 60661",Senior Finance Data Analyst,"85,000","1,25,000"," $1,05,000.00 ",United States of America,Data Scientist,Chicago,Available
"Phoenix, AZ 85074",AI/ML Engineer - PHOENIX LOCAL CANDIDATES ONLY,60,65," $1,31,040.00 ",United States of America,Data Scientist,Phoenix,Available
"Boston, MA","Principal Clinical Data Science Boston, Massachusetts",,,,United States of America,Data Scientist,Boston,Missing
"Charlotte, NC","Senior AI Engineer, Quit for Life","1,18,650","1,58,200"," $1,38,425.00 ",United States of America,Data Scientist,Charlotte,Available
"Seattle, WA 98105","Applied Machine Learning Research Engineer, Siri","1,66,600","2,96,300"," $2,31,450.00 ",United States of America,Data Scientist,Seattle,Available
"New York, NY","Senior Manager, Data Science - LLM Customization Team","2,45,900","2,80,600"," $2,63,250.00 ",United States of America,Data Scientist,New York,Available
"Cupertino, CA","Applied Machine Learning Research Engineer, Siri","1,75,800","3,12,200"," $2,44,000.00 ",United States of America,Data Scientist,Cupertino,Available
"Hartford, CT 06112","Director, Data Science, Product Management","1,53,200","2,29,800"," $1,91,500.00 ",United States of America,Data Scientist,Hartford,Available
"New York, NY",Statistician and project manager,,,,United States of America,Data Scientist,New York,Missing
"Seattle, WA","Principal Partner GTM - Agentic AI, Data & AI - Partner GTM and Specialist Team","1,58,400","2,62,000"," $2,10,200.00 ",United States of America,Data Scientist,Seattle,Available
"Sunnyvale, CA",Senior Software Engineer - AI Systems,"2,07,800","3,78,700"," $2,93,250.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Seattle, WA","Sr. GenAI GTM - Partner, Data & AI - Partner GTM and Specialist Team","1,33,200","2,20,200"," $1,76,700.00 ",United States of America,Data Scientist,Seattle,Available
"San Francisco, CA","PRINCIPAL DATA SCIENTISTS, CUSTOMER ANALYTICS – ECOSYSTEM","1,88,885","2,33,400"," $2,11,143.00 ",United States of America,Data Scientist,San Francisco,Available
United States,"Senior Staff Machine Learning Engineer, Communication & Connectivity","2,44,000","3,05,000"," $2,74,500.00 ",United States of America,Data Scientist,United States,Available
"Seattle, WA","Applied Science Manager, Translation Services","1,65,500","2,86,000"," $2,25,750.00 ",United States of America,Data Scientist,Seattle,Available
"Redmond, WA 98052",Principal Engineering Lead – Gaming AI,"1,63,000","3,31,200"," $2,47,100.00 ",United States of America,Data Scientist,Redmond,Available
"Seattle, WA","Principal Partner GTM - Agentic AI, Data & AI - Partner GTM and Specialist Team","1,58,400","2,62,000"," $2,10,200.00 ",United States of America,Data Scientist,Seattle,Available
"Boston, MA",Statistician,"73,000","76,000"," $74,500.00 ",United States of America,Data Scientist,Boston,Available
"Seattle, WA","Sr GenAI GTM Specialist - Partner - Startups, Data & AI Partner GTM Team","1,33,200","2,20,200"," $1,76,700.00 ",United States of America,Data Scientist,Seattle,Available
"Seattle, WA","Sr. GenAI GTM - Partner, Data & AI - Partner GTM and Specialist Team","1,33,200","2,20,200"," $1,76,700.00 ",United States of America,Data Scientist,Seattle,Available
"Fort Worth, TX 76102",AI Platform Engineering Manager,,,,United States of America,Data Scientist,Fort Worth,Missing
"Charlotte, NC",Lead Artificial Intelligence Solutions Consultant,,,,United States of America,Data Scientist,Charlotte,Missing
"San Francisco, CA","Senior Software Development Engineer - AI Innovation & Vibe Coding, Amazon Music","1,51,300","2,61,500"," $2,06,400.00 ",United States of America,Data Scientist,San Francisco,Available
"Seattle, WA","Applied Science Manager, Customer Behavior Analytics","1,65,500","2,86,000"," $2,25,750.00 ",United States of America,Data Scientist,Seattle,Available
"Seattle, WA","Applied Science Manager, Customer Behavior Analytics","1,65,500","2,86,000"," $2,25,750.00 ",United States of America,Data Scientist,Seattle,Available
United States,"Python Engineer - Python, C++, Machine learning",,,,United States of America,Data Scientist,United States,Missing
"New York, NY",Data & Marketplace Integrity,"1,85,000","2,05,000"," $1,95,000.00 ",United States of America,Data Scientist,New York,Available
"Princeton, NJ","Senior Manager, Analytical AI Forecasting and Predictive Solutions",,,,United States of America,Data Scientist,Princeton,Missing
"Santa Clara, CA 95054",AI Value Methodology Lead,"1,97,800","3,46,200"," $2,72,000.00 ",United States of America,Data Scientist,Santa Clara,Available
"San Francisco, CA","Engineering Manager, Mulitimodal (API)","3,25,000","4,05,000"," $3,65,000.00 ",United States of America,Data Scientist,San Francisco,Available
"San Francisco, CA 94104","PRINCIPAL DATA SCIENTISTS, CUSTOMER ANALYTICS – ECOSYSTEM","1,88,885","2,33,400"," $2,11,143.00 ",United States of America,Data Scientist,San Francisco,Available
"Sunnyvale, CA","Software Engineer (Data), Ai & Data Platforms","1,43,100","2,14,500"," $1,78,800.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Albuquerque, NM 87101",Data Scientist SME,,,,United States of America,Data Scientist,Albuquerque,Missing
"San Francisco, CA",Software Engineer (AI Agents),"1,80,000","2,10,000"," $1,95,000.00 ",United States of America,Data Scientist,San Francisco,Available
"Dallas, TX 75201",Compliance-Dallas-Associate-Machine Learning Engineer,,,,United States of America,Data Scientist,Dallas,Missing
